colid,colname
87_1_17,Non-cancer illness year/age first occurred
87_1_18,Non-cancer illness year/age first occurred
87_1_19,Non-cancer illness year/age first occurred
87_1_20,Non-cancer illness year/age first occurred
87_1_21,Non-cancer illness year/age first occurred
87_1_22,Non-cancer illness year/age first occurred
87_1_23,Non-cancer illness year/age first occurred
87_1_24,Non-cancer illness year/age first occurred
87_1_25,Non-cancer illness year/age first occurred
87_1_26,Non-cancer illness year/age first occurred
87_1_27,Non-cancer illness year/age first occurred
87_1_28,Non-cancer illness year/age first occurred
87_1_29,Non-cancer illness year/age first occurred
87_1_30,Non-cancer illness year/age first occurred
87_1_31,Non-cancer illness year/age first occurred
87_1_32,Non-cancer illness year/age first occurred
87_1_33,Non-cancer illness year/age first occurred
87_2_0,Non-cancer illness year/age first occurred
87_2_1,Non-cancer illness year/age first occurred
87_2_2,Non-cancer illness year/age first occurred
87_2_3,Non-cancer illness year/age first occurred
87_2_4,Non-cancer illness year/age first occurred
87_2_5,Non-cancer illness year/age first occurred
87_2_6,Non-cancer illness year/age first occurred
87_2_7,Non-cancer illness year/age first occurred
87_2_8,Non-cancer illness year/age first occurred
87_2_9,Non-cancer illness year/age first occurred
4257_0_6,Keystroke history
87_2_10,Non-cancer illness year/age first occurred
87_2_11,Non-cancer illness year/age first occurred
87_2_12,Non-cancer illness year/age first occurred
87_2_13,Non-cancer illness year/age first occurred
87_2_14,Non-cancer illness year/age first occurred
87_2_15,Non-cancer illness year/age first occurred
87_2_16,Non-cancer illness year/age first occurred
87_2_17,Non-cancer illness year/age first occurred
87_2_18,Non-cancer illness year/age first occurred
87_2_19,Non-cancer illness year/age first occurred
87_2_20,Non-cancer illness year/age first occurred
87_2_21,Non-cancer illness year/age first occurred
87_2_22,Non-cancer illness year/age first occurred
87_2_23,Non-cancer illness year/age first occurred
87_2_24,Non-cancer illness year/age first occurred
87_2_25,Non-cancer illness year/age first occurred
87_2_26,Non-cancer illness year/age first occurred
87_2_27,Non-cancer illness year/age first occurred
87_2_28,Non-cancer illness year/age first occurred
87_2_29,Non-cancer illness year/age first occurred
87_2_30,Non-cancer illness year/age first occurred
87_2_31,Non-cancer illness year/age first occurred
87_2_32,Non-cancer illness year/age first occurred
87_2_33,Non-cancer illness year/age first occurred
87_3_0,Non-cancer illness year/age first occurred
87_3_1,Non-cancer illness year/age first occurred
87_3_2,Non-cancer illness year/age first occurred
87_3_3,Non-cancer illness year/age first occurred
87_3_4,Non-cancer illness year/age first occurred
87_3_5,Non-cancer illness year/age first occurred
87_3_6,Non-cancer illness year/age first occurred
87_3_7,Non-cancer illness year/age first occurred
87_3_8,Non-cancer illness year/age first occurred
87_3_9,Non-cancer illness year/age first occurred
87_3_10,Non-cancer illness year/age first occurred
87_3_11,Non-cancer illness year/age first occurred
87_3_12,Non-cancer illness year/age first occurred
87_3_13,Non-cancer illness year/age first occurred
87_3_14,Non-cancer illness year/age first occurred
87_3_15,Non-cancer illness year/age first occurred
87_3_16,Non-cancer illness year/age first occurred
87_3_17,Non-cancer illness year/age first occurred
87_3_18,Non-cancer illness year/age first occurred
87_3_19,Non-cancer illness year/age first occurred
87_3_20,Non-cancer illness year/age first occurred
87_3_21,Non-cancer illness year/age first occurred
87_3_22,Non-cancer illness year/age first occurred
87_3_23,Non-cancer illness year/age first occurred
87_3_24,Non-cancer illness year/age first occurred
87_3_25,Non-cancer illness year/age first occurred
87_3_26,Non-cancer illness year/age first occurred
87_3_27,Non-cancer illness year/age first occurred
87_3_28,Non-cancer illness year/age first occurred
87_3_29,Non-cancer illness year/age first occurred
87_3_30,Non-cancer illness year/age first occurred
87_3_31,Non-cancer illness year/age first occurred
87_3_32,Non-cancer illness year/age first occurred
87_3_33,Non-cancer illness year/age first occurred
92_0_0,Operation year/age first occurred
92_0_1,Operation year/age first occurred
92_0_2,Operation year/age first occurred
92_0_3,Operation year/age first occurred
92_0_4,Operation year/age first occurred
92_0_5,Operation year/age first occurred
92_0_6,Operation year/age first occurred
92_0_7,Operation year/age first occurred
92_0_8,Operation year/age first occurred
92_0_9,Operation year/age first occurred
92_0_10,Operation year/age first occurred
92_0_11,Operation year/age first occurred
92_0_12,Operation year/age first occurred
92_0_13,Operation year/age first occurred
92_0_14,Operation year/age first occurred
92_0_15,Operation year/age first occurred
92_0_16,Operation year/age first occurred
92_0_17,Operation year/age first occurred
92_0_18,Operation year/age first occurred
92_0_19,Operation year/age first occurred
92_0_20,Operation year/age first occurred
92_0_21,Operation year/age first occurred
92_0_22,Operation year/age first occurred
92_0_23,Operation year/age first occurred
92_0_24,Operation year/age first occurred
92_0_25,Operation year/age first occurred
92_0_26,Operation year/age first occurred
92_0_27,Operation year/age first occurred
92_0_28,Operation year/age first occurred
92_0_29,Operation year/age first occurred
92_0_30,Operation year/age first occurred
92_0_31,Operation year/age first occurred
92_1_0,Operation year/age first occurred
92_1_1,Operation year/age first occurred
92_1_2,Operation year/age first occurred
92_1_3,Operation year/age first occurred
92_1_4,Operation year/age first occurred
92_1_5,Operation year/age first occurred
92_1_6,Operation year/age first occurred
92_1_7,Operation year/age first occurred
92_1_8,Operation year/age first occurred
92_1_9,Operation year/age first occurred
92_1_10,Operation year/age first occurred
92_1_11,Operation year/age first occurred
92_1_12,Operation year/age first occurred
92_1_13,Operation year/age first occurred
92_1_14,Operation year/age first occurred
92_1_15,Operation year/age first occurred
92_1_16,Operation year/age first occurred
92_1_17,Operation year/age first occurred
92_1_18,Operation year/age first occurred
92_1_19,Operation year/age first occurred
92_1_20,Operation year/age first occurred
92_1_21,Operation year/age first occurred
92_1_22,Operation year/age first occurred
92_1_23,Operation year/age first occurred
92_1_24,Operation year/age first occurred
92_1_25,Operation year/age first occurred
92_1_26,Operation year/age first occurred
92_1_27,Operation year/age first occurred
92_1_28,Operation year/age first occurred
92_1_29,Operation year/age first occurred
92_1_30,Operation year/age first occurred
92_1_31,Operation year/age first occurred
92_2_0,Operation year/age first occurred
92_2_1,Operation year/age first occurred
92_2_2,Operation year/age first occurred
92_2_3,Operation year/age first occurred
92_2_4,Operation year/age first occurred
4257_0_7,Keystroke history
92_2_5,Operation year/age first occurred
92_2_6,Operation year/age first occurred
92_2_7,Operation year/age first occurred
92_2_8,Operation year/age first occurred
92_2_9,Operation year/age first occurred
92_2_10,Operation year/age first occurred
92_2_11,Operation year/age first occurred
92_2_12,Operation year/age first occurred
92_2_13,Operation year/age first occurred
92_2_14,Operation year/age first occurred
92_2_15,Operation year/age first occurred
92_2_16,Operation year/age first occurred
92_2_17,Operation year/age first occurred
92_2_18,Operation year/age first occurred
92_2_19,Operation year/age first occurred
92_2_20,Operation year/age first occurred
92_2_21,Operation year/age first occurred
92_2_22,Operation year/age first occurred
92_2_23,Operation year/age first occurred
92_2_24,Operation year/age first occurred
92_2_25,Operation year/age first occurred
92_2_26,Operation year/age first occurred
92_2_27,Operation year/age first occurred
92_2_28,Operation year/age first occurred
92_2_29,Operation year/age first occurred
92_2_30,Operation year/age first occurred
92_2_31,Operation year/age first occurred
92_3_0,Operation year/age first occurred
92_3_1,Operation year/age first occurred
92_3_2,Operation year/age first occurred
92_3_3,Operation year/age first occurred
92_3_4,Operation year/age first occurred
92_3_5,Operation year/age first occurred
92_3_6,Operation year/age first occurred
92_3_7,Operation year/age first occurred
92_3_8,Operation year/age first occurred
92_3_9,Operation year/age first occurred
92_3_10,Operation year/age first occurred
92_3_11,Operation year/age first occurred
92_3_12,Operation year/age first occurred
92_3_13,Operation year/age first occurred
92_3_14,Operation year/age first occurred
92_3_15,Operation year/age first occurred
92_3_16,Operation year/age first occurred
92_3_17,Operation year/age first occurred
92_3_18,Operation year/age first occurred
92_3_19,Operation year/age first occurred
92_3_20,Operation year/age first occurred
92_3_21,Operation year/age first occurred
92_3_22,Operation year/age first occurred
92_3_23,Operation year/age first occurred
92_3_24,Operation year/age first occurred
92_3_25,Operation year/age first occurred
92_3_26,Operation year/age first occurred
92_3_27,Operation year/age first occurred
92_3_28,Operation year/age first occurred
92_3_29,Operation year/age first occurred
92_3_30,Operation year/age first occurred
92_3_31,Operation year/age first occurred
93_0_0,"Systolic blood pressure, manual reading"
93_0_1,"Systolic blood pressure, manual reading"
93_1_0,"Systolic blood pressure, manual reading"
93_1_1,"Systolic blood pressure, manual reading"
93_2_0,"Systolic blood pressure, manual reading"
93_2_1,"Systolic blood pressure, manual reading"
4257_0_8,Keystroke history
93_3_0,"Systolic blood pressure, manual reading"
93_3_1,"Systolic blood pressure, manual reading"
94_0_0,"Diastolic blood pressure, manual reading"
94_0_1,"Diastolic blood pressure, manual reading"
94_1_0,"Diastolic blood pressure, manual reading"
94_1_1,"Diastolic blood pressure, manual reading"
94_2_0,"Diastolic blood pressure, manual reading"
94_2_1,"Diastolic blood pressure, manual reading"
94_3_0,"Diastolic blood pressure, manual reading"
94_3_1,"Diastolic blood pressure, manual reading"
95_0_0,Pulse rate (during blood-pressure measurement)
95_0_1,Pulse rate (during blood-pressure measurement)
95_1_0,Pulse rate (during blood-pressure measurement)
95_1_1,Pulse rate (during blood-pressure measurement)
95_2_0,Pulse rate (during blood-pressure measurement)
95_2_1,Pulse rate (during blood-pressure measurement)
95_3_0,Pulse rate (during blood-pressure measurement)
95_3_1,Pulse rate (during blood-pressure measurement)
96_0_0,Time since interview start at which blood pressure screen(s) shown
96_0_1,Time since interview start at which blood pressure screen(s) shown
96_1_0,Time since interview start at which blood pressure screen(s) shown
96_1_1,Time since interview start at which blood pressure screen(s) shown
96_2_0,Time since interview start at which blood pressure screen(s) shown
96_2_1,Time since interview start at which blood pressure screen(s) shown
96_3_0,Time since interview start at which blood pressure screen(s) shown
96_3_1,Time since interview start at which blood pressure screen(s) shown
102_0_0,"Pulse rate, automated reading"
102_0_1,"Pulse rate, automated reading"
102_1_0,"Pulse rate, automated reading"
102_1_1,"Pulse rate, automated reading"
102_2_0,"Pulse rate, automated reading"
102_2_1,"Pulse rate, automated reading"
102_3_0,"Pulse rate, automated reading"
102_3_1,"Pulse rate, automated reading"
120_0_0,Birth weight known
120_1_0,Birth weight known
120_2_0,Birth weight known
129_0_0,Place of birth in UK - north co-ordinate
129_1_0,Place of birth in UK - north co-ordinate
129_2_0,Place of birth in UK - north co-ordinate
130_0_0,Place of birth in UK - east co-ordinate
130_1_0,Place of birth in UK - east co-ordinate
130_2_0,Place of birth in UK - east co-ordinate
134_0_0,Number of self-reported cancers
134_1_0,Number of self-reported cancers
134_2_0,Number of self-reported cancers
134_3_0,Number of self-reported cancers
135_0_0,Number of self-reported non-cancer illnesses
135_1_0,Number of self-reported non-cancer illnesses
135_2_0,Number of self-reported non-cancer illnesses
135_3_0,Number of self-reported non-cancer illnesses
136_0_0,"Number of operations, self-reported"
136_1_0,"Number of operations, self-reported"
136_2_0,"Number of operations, self-reported"
136_3_0,"Number of operations, self-reported"
137_0_0,Number of treatments/medications taken
137_1_0,Number of treatments/medications taken
137_2_0,Number of treatments/medications taken
137_3_0,Number of treatments/medications taken
189_0_0,Townsend deprivation index at recruitment
190_0_0,Reason lost to follow-up
191_0_0,Date lost to follow-up
396_0_1,Number of columns displayed in round
396_0_2,Number of columns displayed in round
396_0_3,Number of columns displayed in round
396_1_1,Number of columns displayed in round
396_1_2,Number of columns displayed in round
396_1_3,Number of columns displayed in round
396_2_1,Number of columns displayed in round
396_2_2,Number of columns displayed in round
396_2_3,Number of columns displayed in round
396_3_1,Number of columns displayed in round
396_3_2,Number of columns displayed in round
396_3_3,Number of columns displayed in round
397_0_1,Number of rows displayed in round
397_0_2,Number of rows displayed in round
397_1_1,Number of rows displayed in round
397_1_2,Number of rows displayed in round
397_2_1,Number of rows displayed in round
397_2_2,Number of rows displayed in round
397_3_1,Number of rows displayed in round
397_3_2,Number of rows displayed in round
398_0_1,Number of correct matches in round
398_0_2,Number of correct matches in round
398_0_3,Number of correct matches in round
398_1_1,Number of correct matches in round
398_1_2,Number of correct matches in round
398_1_3,Number of correct matches in round
398_2_1,Number of correct matches in round
398_2_2,Number of correct matches in round
398_2_3,Number of correct matches in round
398_3_1,Number of correct matches in round
398_3_2,Number of correct matches in round
398_3_3,Number of correct matches in round
399_0_1,Number of incorrect matches in round
399_0_2,Number of incorrect matches in round
399_0_3,Number of incorrect matches in round
399_1_1,Number of incorrect matches in round
399_1_2,Number of incorrect matches in round
399_1_3,Number of incorrect matches in round
399_2_1,Number of incorrect matches in round
399_2_2,Number of incorrect matches in round
399_2_3,Number of incorrect matches in round
399_3_1,Number of incorrect matches in round
399_3_2,Number of incorrect matches in round
399_3_3,Number of incorrect matches in round
400_0_1,Time to complete round
400_0_2,Time to complete round
400_0_3,Time to complete round
400_1_1,Time to complete round
400_1_2,Time to complete round
400_1_3,Time to complete round
400_2_1,Time to complete round
400_2_2,Time to complete round
400_2_3,Time to complete round
400_3_1,Time to complete round
400_3_2,Time to complete round
400_3_3,Time to complete round
401_0_0,Index for card A in round
401_0_1,Index for card A in round
401_0_2,Index for card A in round
401_0_3,Index for card A in round
401_0_4,Index for card A in round
401_0_5,Index for card A in round
401_0_6,Index for card A in round
401_0_7,Index for card A in round
401_0_8,Index for card A in round
401_0_9,Index for card A in round
401_0_10,Index for card A in round
401_0_11,Index for card A in round
401_1_0,Index for card A in round
401_1_1,Index for card A in round
401_1_2,Index for card A in round
401_1_3,Index for card A in round
401_1_4,Index for card A in round
401_1_5,Index for card A in round
401_1_6,Index for card A in round
401_1_7,Index for card A in round
401_1_8,Index for card A in round
401_1_9,Index for card A in round
401_1_10,Index for card A in round
401_1_11,Index for card A in round
401_2_0,Index for card A in round
401_2_1,Index for card A in round
401_2_2,Index for card A in round
401_2_3,Index for card A in round
401_2_4,Index for card A in round
401_2_5,Index for card A in round
401_2_6,Index for card A in round
401_2_7,Index for card A in round
401_2_8,Index for card A in round
401_2_9,Index for card A in round
401_2_10,Index for card A in round
401_2_11,Index for card A in round
401_3_0,Index for card A in round
401_3_1,Index for card A in round
401_3_2,Index for card A in round
401_3_3,Index for card A in round
401_3_4,Index for card A in round
401_3_5,Index for card A in round
401_3_6,Index for card A in round
401_3_7,Index for card A in round
401_3_8,Index for card A in round
401_3_9,Index for card A in round
401_3_10,Index for card A in round
401_3_11,Index for card A in round
402_0_0,Index for card B in round
402_0_1,Index for card B in round
402_0_2,Index for card B in round
402_0_3,Index for card B in round
402_0_4,Index for card B in round
402_0_5,Index for card B in round
402_0_6,Index for card B in round
402_0_7,Index for card B in round
402_0_8,Index for card B in round
402_0_9,Index for card B in round
402_0_10,Index for card B in round
402_0_11,Index for card B in round
402_1_0,Index for card B in round
402_1_1,Index for card B in round
402_1_2,Index for card B in round
402_1_3,Index for card B in round
402_1_4,Index for card B in round
402_1_5,Index for card B in round
402_1_6,Index for card B in round
402_1_7,Index for card B in round
402_1_8,Index for card B in round
402_1_9,Index for card B in round
402_1_10,Index for card B in round
402_1_11,Index for card B in round
402_2_0,Index for card B in round
402_2_1,Index for card B in round
4257_0_9,Keystroke history
402_2_2,Index for card B in round
402_2_3,Index for card B in round
402_2_4,Index for card B in round
402_2_5,Index for card B in round
402_2_6,Index for card B in round
402_2_7,Index for card B in round
402_2_8,Index for card B in round
402_2_9,Index for card B in round
402_2_10,Index for card B in round
402_2_11,Index for card B in round
402_3_0,Index for card B in round
402_3_1,Index for card B in round
402_3_2,Index for card B in round
402_3_3,Index for card B in round
402_3_4,Index for card B in round
402_3_5,Index for card B in round
402_3_6,Index for card B in round
402_3_7,Index for card B in round
402_3_8,Index for card B in round
402_3_9,Index for card B in round
402_3_10,Index for card B in round
402_3_11,Index for card B in round
403_0_0,Number of times snap-button pressed
403_0_1,Number of times snap-button pressed
403_0_2,Number of times snap-button pressed
403_0_3,Number of times snap-button pressed
403_0_4,Number of times snap-button pressed
403_0_5,Number of times snap-button pressed
403_0_6,Number of times snap-button pressed
403_0_7,Number of times snap-button pressed
403_0_8,Number of times snap-button pressed
403_0_9,Number of times snap-button pressed
403_0_10,Number of times snap-button pressed
403_0_11,Number of times snap-button pressed
403_1_0,Number of times snap-button pressed
403_1_1,Number of times snap-button pressed
403_1_2,Number of times snap-button pressed
403_1_3,Number of times snap-button pressed
403_1_4,Number of times snap-button pressed
403_1_5,Number of times snap-button pressed
403_1_6,Number of times snap-button pressed
403_1_7,Number of times snap-button pressed
403_1_8,Number of times snap-button pressed
403_1_9,Number of times snap-button pressed
403_1_10,Number of times snap-button pressed
403_1_11,Number of times snap-button pressed
403_2_0,Number of times snap-button pressed
403_2_1,Number of times snap-button pressed
403_2_2,Number of times snap-button pressed
403_2_3,Number of times snap-button pressed
403_2_4,Number of times snap-button pressed
403_2_5,Number of times snap-button pressed
403_2_6,Number of times snap-button pressed
403_2_7,Number of times snap-button pressed
403_2_8,Number of times snap-button pressed
403_2_9,Number of times snap-button pressed
403_2_10,Number of times snap-button pressed
403_2_11,Number of times snap-button pressed
403_3_0,Number of times snap-button pressed
403_3_1,Number of times snap-button pressed
403_3_2,Number of times snap-button pressed
403_3_3,Number of times snap-button pressed
403_3_4,Number of times snap-button pressed
403_3_5,Number of times snap-button pressed
403_3_6,Number of times snap-button pressed
403_3_7,Number of times snap-button pressed
5983_0_11,"ECG, heart rate"
403_3_8,Number of times snap-button pressed
403_3_9,Number of times snap-button pressed
403_3_10,Number of times snap-button pressed
403_3_11,Number of times snap-button pressed
404_0_0,Duration to first press of snap-button in each round
404_0_1,Duration to first press of snap-button in each round
404_0_2,Duration to first press of snap-button in each round
404_0_3,Duration to first press of snap-button in each round
404_0_4,Duration to first press of snap-button in each round
404_0_5,Duration to first press of snap-button in each round
404_0_6,Duration to first press of snap-button in each round
404_0_7,Duration to first press of snap-button in each round
404_0_8,Duration to first press of snap-button in each round
404_0_9,Duration to first press of snap-button in each round
404_0_10,Duration to first press of snap-button in each round
404_0_11,Duration to first press of snap-button in each round
404_1_0,Duration to first press of snap-button in each round
404_1_1,Duration to first press of snap-button in each round
404_1_2,Duration to first press of snap-button in each round
404_1_3,Duration to first press of snap-button in each round
404_1_4,Duration to first press of snap-button in each round
404_1_5,Duration to first press of snap-button in each round
404_1_6,Duration to first press of snap-button in each round
404_1_7,Duration to first press of snap-button in each round
404_1_8,Duration to first press of snap-button in each round
404_1_9,Duration to first press of snap-button in each round
404_1_10,Duration to first press of snap-button in each round
404_1_11,Duration to first press of snap-button in each round
404_2_0,Duration to first press of snap-button in each round
404_2_1,Duration to first press of snap-button in each round
404_2_2,Duration to first press of snap-button in each round
404_2_3,Duration to first press of snap-button in each round
404_2_4,Duration to first press of snap-button in each round
404_2_5,Duration to first press of snap-button in each round
404_2_6,Duration to first press of snap-button in each round
404_2_7,Duration to first press of snap-button in each round
404_2_8,Duration to first press of snap-button in each round
404_2_9,Duration to first press of snap-button in each round
404_2_10,Duration to first press of snap-button in each round
404_2_11,Duration to first press of snap-button in each round
404_3_0,Duration to first press of snap-button in each round
404_3_1,Duration to first press of snap-button in each round
404_3_2,Duration to first press of snap-button in each round
404_3_3,Duration to first press of snap-button in each round
404_3_4,Duration to first press of snap-button in each round
404_3_5,Duration to first press of snap-button in each round
404_3_6,Duration to first press of snap-button in each round
404_3_7,Duration to first press of snap-button in each round
404_3_8,Duration to first press of snap-button in each round
404_3_9,Duration to first press of snap-button in each round
404_3_10,Duration to first press of snap-button in each round
404_3_11,Duration to first press of snap-button in each round
670_0_0,Type of accommodation lived in
670_1_0,Type of accommodation lived in
670_2_0,Type of accommodation lived in
670_3_0,Type of accommodation lived in
680_0_0,Own or rent accommodation lived in
680_1_0,Own or rent accommodation lived in
5983_0_12,"ECG, heart rate"
680_2_0,Own or rent accommodation lived in
680_3_0,Own or rent accommodation lived in
699_0_0,Length of time at current address
699_1_0,Length of time at current address
699_2_0,Length of time at current address
699_3_0,Length of time at current address
709_0_0,Number in household
709_1_0,Number in household
709_2_0,Number in household
709_3_0,Number in household
728_0_0,Number of vehicles in household
728_1_0,Number of vehicles in household
728_2_0,Number of vehicles in household
728_3_0,Number of vehicles in household
738_0_0,Average total household income before tax
738_1_0,Average total household income before tax
738_2_0,Average total household income before tax
738_3_0,Average total household income before tax
757_0_0,Time employed in main current job
757_1_0,Time employed in main current job
757_2_0,Time employed in main current job
757_3_0,Time employed in main current job
767_0_0,Length of working week for main job
767_1_0,Length of working week for main job
767_2_0,Length of working week for main job
767_3_0,Length of working week for main job
777_0_0,Frequency of travelling from home to job workplace
777_1_0,Frequency of travelling from home to job workplace
777_2_0,Frequency of travelling from home to job workplace
777_3_0,Frequency of travelling from home to job workplace
796_0_0,Distance between home and job workplace
796_1_0,Distance between home and job workplace
796_2_0,Distance between home and job workplace
796_3_0,Distance between home and job workplace
806_0_0,Job involves mainly walking or standing
806_1_0,Job involves mainly walking or standing
806_2_0,Job involves mainly walking or standing
806_3_0,Job involves mainly walking or standing
816_0_0,Job involves heavy manual or physical work
816_1_0,Job involves heavy manual or physical work
816_2_0,Job involves heavy manual or physical work
816_3_0,Job involves heavy manual or physical work
826_0_0,Job involves shift work
826_1_0,Job involves shift work
826_2_0,Job involves shift work
826_3_0,Job involves shift work
845_0_0,Age completed full time education
845_1_0,Age completed full time education
845_2_0,Age completed full time education
864_0_0,Number of days/week walked 10+ minutes
864_1_0,Number of days/week walked 10+ minutes
864_2_0,Number of days/week walked 10+ minutes
864_3_0,Number of days/week walked 10+ minutes
874_0_0,Duration of walks
874_1_0,Duration of walks
874_2_0,Duration of walks
874_3_0,Duration of walks
884_0_0,Number of days/week of moderate physical activity 10+ minutes
884_1_0,Number of days/week of moderate physical activity 10+ minutes
884_2_0,Number of days/week of moderate physical activity 10+ minutes
